Product Name,Price,Image URL,Product Page,Brand,Category,Date Scraped
Cotton Linen Shirt With Patch Pocket,2990.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0618103007_1.jpg?v=1726636240,https://www.outfitters.com.pk/products/f0618-103,Outfitters,Shirts,7/30/2025
Color Blocking With Pipping Detail T-shirt,1190.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0865106907.jpg?v=1711952512,https://www.outfitters.com.pk/products/f0865-106,Outfitters,Shirts,7/30/2025
Checkered Shirt,1190.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0243503710_1.jpg?v=1707982804,https://www.outfitters.com.pk/products/f0243-503,Outfitters,Shirts,7/30/2025
Button Up Striped Shirt,1390.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0266503633_2.jpg?v=1705922285,https://www.outfitters.com.pk/products/f0266-503,Outfitters,Shirts,7/30/2025
Button Down Cropped Shirt with Knot,1290.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0235203001_1_26bf8262-6fda-418d-a842-dec25cc9505d.jpg?v=1747144052,https://www.outfitters.com.pk/products/f0235-203,Outfitters,Shirts,7/30/2025
Be Kind Cropped T-Shirt,790.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0669606530_3.jpg?v=1734671889,https://www.outfitters.com.pk/products/f0669-606,Outfitters,Shirts,7/30/2025
Basic Textured T-Shirt,990.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0666306006_2.jpg?v=1729500290,https://www.outfitters.com.pk/products/f0666-306,Outfitters,Shirts,7/30/2025
Basic Non-Denim Cropped Shirt,2090.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0379203808_1.jpg?v=1733224354,https://www.outfitters.com.pk/products/f0379-203,Outfitters,Shirts,7/30/2025
Basic Denim Shirt,1690.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0234503617_2.jpg?v=1706509509,https://www.outfitters.com.pk/products/f0234-503,Outfitters,Shirts,7/30/2025
Basic Crew Neck T-shirt,990.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1107106002_1.jpg?v=1750242296,https://www.outfitters.com.pk/products/f1107-106,Outfitters,Shirts,7/30/2025
All Over Printed Resort Collar Shirt,1790.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0505103999.jpg?v=1712292279,https://www.outfitters.com.pk/products/f0505-103,Outfitters,Shirts,7/30/2025
All-Over Flamingo Print T-Shirt,1290.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0599606425_2.jpg?v=1750241557,https://www.outfitters.com.pk/products/f0599-606,Outfitters,Shirts,7/30/2025
All Over Printed Resort Collar Shirt,1790.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0474103998.jpg?v=1716961851,https://www.outfitters.com.pk/products/f0474-103,Outfitters,Shirts,7/30/2025
Textured T-Shirt,3090.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1292106637_2.jpg?v=1753691085,https://www.outfitters.com.pk/products/f1292-106,Outfitters,Shirts,7/30/2025
Printed Shirt,2490.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0395303309_2_copy.jpg?v=1753690807,https://www.outfitters.com.pk/products/f0395-303,Outfitters,Shirts,7/30/2025
Printed Shirt,2490.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0394303111_3_copy_20bebdce-03ee-46f3-badd-7a6d9eb21c06.jpg?v=1753690552,https://www.outfitters.com.pk/products/f0394-303,Outfitters,Shirts,7/30/2025
Cropped Graphic T-Shirt,990.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0460406127_2.jpg?v=1750240374,https://www.outfitters.com.pk/products/f0460-406,Outfitters,Shirts,7/30/2025
Self Textured Shirt,4990.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0877103001_2.jpg?v=1753686607,https://www.outfitters.com.pk/products/f0877-103,Outfitters,Shirts,7/30/2025
Embroidered Shirt,5990.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0902103618_2.jpg?v=1753686064,https://www.outfitters.com.pk/products/f0902-103,Outfitters,Shirts,7/30/2025
Embroidered Denim Shirt,2790.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0198403635_2_copy.jpg?v=1750241690,https://www.outfitters.com.pk/products/f0198-403,Outfitters,Shirts,7/30/2025
Slogan T-Shirt,1690.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1357106901_1.jpg?v=1750914764,https://www.outfitters.com.pk/products/f1357-106,Outfitters,Shirts,7/30/2025
